INSERT INTO [dbo].[Products] ([ProductName], [Description], [Price], [Picture], [Stock]) VALUES
('Adidas Sneakers', 'Classic Adidas sneakers for everyday wear.', 49.99, '/images/adidas-1853899_640.jpg', 100),
('Adidas Stan Smith', 'Iconic Adidas Stan Smith sneakers in white and green.', 79.99, '/images/adidas-stan-smith-6404200_640.jpg', 50),
('Beach Sandals', 'Comfortable sandals perfect for a day at the beach.', 29.99, '/images/beach-1057766_640.jpg', 150),
('Black and White Sneakers', 'Stylish black and white sneakers for a modern look.', 64.99, '/images/black-and-white-1282292_640.jpg', 75),
('Blue Running Shoes', 'Lightweight and breathable running shoes in blue.', 89.99, '/images/blue-2537963_640.jpg', 100),
('Leather Boots', 'Classic leather boots for a rugged yet refined style.', 129.99, '/images/boot-2700477_640.jpg', 50),
('Brown Boots', 'Durable brown boots suitable for outdoor activities.', 79.99, '/images/boots-1638873_640.jpg', 80),
('Hiking Boots', 'Sturdy hiking boots designed for rough terrain.', 149.99, '/images/boots-181744_640.jpg', 30),
('Winter Boots', 'Warm and waterproof winter boots for cold weather.', 99.99, '/images/boots-2353889_640.jpg', 60),
('Fashion Boots', 'Trendy fashion boots to complete your stylish outfit.', 69.99, '/images/boots-2374145_640.jpg', 100),
('Converse Sneakers', 'Classic Converse sneakers in various colors.', 54.99, '/images/converse-2387917_640.jpg', 120),
('High Top Converse', 'Iconic high top Converse sneakers in black.', 59.99, '/images/converse-2521534_640.jpg', 90),
('Canvas Sneakers', 'Comfortable canvas sneakers for everyday wear.', 39.99, '/images/converse-4367266_640.jpg', 110),
('Converse Chuck Taylor', 'Timeless Converse Chuck Taylor sneakers.', 49.99, '/images/converse-932667_640.jpg', 80),
('Countryside Boots', 'Rustic countryside boots for outdoor adventures.', 89.99, '/images/countryside-1846093_640.jpg', 70),
('Fashion Sneakers', 'Stylish fashion sneakers with a modern design.', 69.99, '/images/fashion-2697009_640.jpg', 90),
('Casual Sneakers', 'Casual sneakers suitable for everyday activities.', 49.99, '/images/fashion-4013456_640.jpg', 100),
('Sporty Sneakers', 'Sporty sneakers designed for active lifestyles.', 79.99, '/images/fashion-5515135_640.jpg', 80),
('Feet Shoes', 'Unique shoes with a minimalist design.', 34.99, '/images/feet-1840619_640.jpg', 150),
('Minimalist Sneakers', 'Simple and minimalist sneakers for a clean look.', 59.99, '/images/feet-349687_640.jpg', 120),
('Green Sneakers', 'Vibrant green sneakers to add a pop of color to your outfit.', 44.99, '/images/green-932350_640.jpg', 100),
('Grey Sneakers', 'Versatile grey sneakers suitable for any occasion.', 49.99, '/images/grey-1838736_640.jpg', 80),
('Kicks Sneakers', 'Stylish kicks sneakers with a retro design.', 54.99, '/images/kicks-2213619_640.jpg', 90),
('Leather Shoes', 'Classic leather shoes for a timeless look.', 79.99, '/images/leather-shoes-505338_640.jpg', 70),
('Nike Sneakers', 'Iconic Nike sneakers in various styles and colors.', 69.99, '/images/nike-5020363_640.jpg', 100),
('Nike Air Max', 'Popular Nike Air Max sneakers for ultimate comfort.', 99.99, '/images/nike-5020608_640.jpg', 60),
('Nike Running Shoes', 'High-performance Nike running shoes for athletes.', 129.99, '/images/nike-5126389_640.jpg', 80),
('Nike Air Force 1', 'Classic Nike Air Force 1 sneakers in white.', 79.99, '/images/nike-5418992_640.jpg', 100),
